,,,,
,,,,
,,,,
17,Достигает плановых показателей,Отделение стабильно выполняет KPI,Регулярные срывы сроков и планов,
18,Использует данные для принятия решений,Анализирует метрики перед запуском инициативы,"Действует интуитивно, без анализа",
19,Управляет рисками,"Прогнозирует возможные проблемы и готовит ""план Б""",Не думает о последствиях решений,
20,Соблюдает баланс между давлением и поддержкой,Поддерживает сотрудников в стрессовые периоды,"Давит на команду, не считаясь с нагрузкой",
,,,,
,,,,
"Компетенция: ""Развитие других (Developing Talent)""",,,,
,,,,
№,Критерий оценки,Позитивное поведение (примеры),Негативное поведение (примеры),Оценка (Да/Нет)
1,Выявляет сильные стороны сотрудников,"Проводит индивидуальные беседы, чтобы понять потенциал",Не интересуется навыками подчиненных,
2,Создает индивидуальные планы развития (ИПР),Разрабатывает ИПР с четкими этапами роста,Формально подходит к развитию сотрудников,
3,Регулярно дает обратную связь по развитию,"""Ты отлично провел переговоры, но нужно поработать над презентациями""",Обратная связь только во время аттестации,
4,Делегирует сложные задачи для роста,Поручает вести важные переговоры перспективному сотруднику,Держит ключевые задачи только у себя,
5,Поощряет наставничество в команде,Организует менторские пары,Не поддерживает обмен опытом,
6,Инвестирует в обучение сотрудников,"Отправляет на курсы, вебинары, тренинги",Считает обучение пустой тратой времени,
7,Следит за карьерными амбициями команды,"Спрашивает: ""Кем ты видишь себя через 2 года?""",Игнорирует карьерные цели сотрудников,
8,Ротация кадров для расширения навыков,Переводит сотрудников между отделами для роста,"Боится перемещений, чтобы ""не нарушить процессы""",
9,Создает возможности для публичных выступлений,Дает возможность презентовать проекты перед руководством,"Не выпускает сотрудников ""из тени""",
10,Поощряет участие в кросс-функциональных проектах,"""Этот проект поможет тебе прокачать навыки аналитики""",Держит сотрудников только в рамках их роли,
11,Отслеживает прогресс по целям развития,Проводит ежеквартальные check-in по ИПР,Забывает о планах развития после их создания,
12,"Хвалит за усилия, а не только за результат","""Вижу, как ты стараешься, это ценно""","Ценит только тех, кто уже показывает высокие результаты",
13,"Готов вкладываться в ""неочевидные"" таланты","Развивает сотрудника без опыта, но с мотивацией","Вкладывается только в ""звезд""",
14,Создает кадровый резерв,Готовит замену на свою позицию,"Боится конкуренции, блокирует рост других",
15,Использует разные методы развития,"Коучинг, стажировки, shadowing",Только формальные тренинги раз в год,
16,Открыто обсуждает карьерные перспективы,"""Если выполнишь эти цели, сможешь претендовать на повышение""",Избегает разговоров о повышениях,
17,"Помогает преодолевать ""плато"" в развитии","""Давай разберем, почему ты застрял на этом уровне""",Не замечает стагнацию сотрудников,
18,Развивает лидерские качества у команды,"Поручает вести собрания, обучать новичков",Не дает возможности руководить даже мелкими задачами,
19,Связывает развитие с бизнес-целями,"""Освоив этот навык, ты сможешь увеличить продажи на 10%""","Не объясняет, зачем нужно развиваться",
20,Лично демонстрирует commitment к развитию,Проходит обучение вместе с командой,"Говорит: ""Мне уже нечему учиться""",
,,,,
,,,,
"Компетенция: ""Принятие решений (Decision Quality)""",,,,
,,,,
№,Критерий оценки,Позитивное поведение (примеры),Негативное поведение (примеры),Оценка (Да/Нет)
1,Собирает достаточную информацию перед принятием решения,"Анализирует данные, консультируется с экспертами",Принимает решения на основе интуиции без анализа,
2,Четко определяет критерии успешного решения,"""Решение будет эффективным, если сократит затраты на 15%""",Не имеет четких параметров оценки решения,
3,Учитывает риски и последствия,Проводит SWOT-анализ перед внедрением изменений,Игнорирует потенциальные негативные последствия,
4,Привлекает ключевых стейкхолдеров,"Обсуждает решение с финансами, юристами и командой",Принимает решения единолично без консультаций,
5,Балансирует между скоростью и качеством решения,"В кризис действует быстро, в плановых вопросах – тщательно анализирует","Всегда либо слишком медлит, либо принимает поспешные решения",
6,Различает стратегические и тактические решения,"Инвестиции в новый продукт – стратегия, выбор поставщика – тактика","Путает приоритеты, тратит время на микрорешения",
7,Готов корректировать решение при новых данных,"""Из-за изменений на рынке мы изменим подход""",Упорствует в ошибочном решении из-за гордости,
8,Объясняет логику принятия решений команде,"""Мы выбрали этот вариант, потому что...""","""Просто делайте, как я сказал""",
9,Избегает предвзятости и эмоций,"Опирается на данные, а не на личные симпатии","""Мне не нравится этот вариант, хоть он и выгоден""",
10,Использует лучшие практики и benchmark,Изучает опыт других отделов/компаний,Изобретает велосипед,
11,Оценивает альтернативы перед выбором,Сравнивает 3 варианта внедрения CRM,Выбирает первый попавшийся вариант,
12,"Умеет сказать ""нет"" неэффективным инициативам","""Этот проект не соответствует нашим целям""",Соглашается на все предложения,
13,Следит за исполнением решений,"Назначает ответственных, контролирует сроки",Забывает о решении после его принятия,
14,Принимает сложные решения в условиях неопределенности,"""Давайте действовать, даже если нет всех данных""","Ждет 100% гарантий, упуская возможности",
15,Учитывает долгосрочные последствия,"""Это решение повысит лояльность клиентов в перспективе 2 лет""",Фокусируется только на сиюминутной выгоде,
16,Делит сложные решения на этапы,Пилотный запуск → сбор feedback → масштабирование,Пытается реализовать все сразу,
17,Принимает ответственность за решения,"""Это мое решение, и я отвечаю за последствия""",Винит других в случае неудачи,
18,Избегает группового мышления (groupthink),Поощряет критику и альтернативные мнения,"Давит авторитетом, подавляя дискуссии",
19,Учится на ошибках,"Разбирает проваленные решения, чтобы избежать повтора","Делает вид, что ошибок не было",
20,Сохраняет гибкость в реализации решений,"""Если этот метод не сработает, попробуем другой""","Держится за выбранный путь, даже если он провальный",
,,,,
,,,,
"Компетенция: ""Лидерство и влияние (Leadership & Influence)""",,,,
,,,,
№,Критерий оценки,Позитивное поведение (примеры),Негативное поведение (примеры),Оценка (Да/Нет)
1,Формулирует вдохновляющее видение,"""Наша цель - стать №1 в обслуживании клиентов в регионе""",Не может четко объяснить стратегические цели команде,
2,Личным примером демонстрирует ценности компании,"Приходит первым, соблюдает все стандарты работы","Требует от других того, чего не делает сам",
3,Эффективно мотивирует команду в сложные периоды,"""Я верю в нас, вместе справимся!""",В кризисные моменты теряет самообладание,
4,Создает атмосферу доверия и открытости,"Поощряет честные диалоги, не наказывает за конструктивную критику",Создает культуру страха и недоверия,
5,Умеет вдохновить на сверхусилия,"""Этот проект изменит правила игры - давайте сделаем его!""",Не может объяснить смысл дополнительных усилий,
6,Развивает лидерские качества в подчиненных,"Делегирует полномочия, дает возможность руководить проектами",Концентрирует все управление на себе,
7,Эффективно влияет на коллег и руководство,"Убедительно представляет свои идеи, получает поддержку","Не может ""продать"" свои инициативы",
8,Гибко адаптирует стиль лидерства под ситуацию,"В кризисе - директивно, в инновациях - демократично",Использует один стиль управления во всех ситуациях,
9,Создает сильную командную культуру,"Организует тимбилдинги, поддерживает традиции отдела",Игнорирует вопросы командного духа,
10,Принимает трудные решения и берет ответственность,"""Это непопулярно, но необходимо для бизнеса""","Избегает сложных решений, перекладывает ответственность",
11,Эффективно разрешает конфликты,"Находит решения, удовлетворяющие все стороны",Усугубляет конфликты или игнорирует их,
12,Развивает преемников,Готовит сотрудников на свою позицию,Блокирует карьерный рост подчиненных,
13,Вдохновляет на изменения,"""Новые условия - это наши возможности""","Сопротивляется изменениям, транслирует скепсис",
14,Создает сеть влияния в организации,Имеет союзников в разных департаментах,Действует изолированно,
15,Эффективно представляет интересы команды,Отстаивает ресурсы и возможности для своего отдела,Не может защитить интересы сотрудников,
16,Поддерживает баланс между результатами и отношениями,"Добивается целей, сохраняя хороший климат в команде",Жертвует отношениями ради результата или наоборот,
17,Умеет слушать и учитывать мнение команды,Проводит регулярные встречи для сбора обратной связи,Принимает решения без учета мнения сотрудников,
18,Созет возможности для роста подчиненных,Рекомендует перспективных сотрудников на повышение,Удерживает талантливых сотрудников на своих позициях,
19,Демонстрирует эмоциональный интеллект,"Чувствует настроение команды, адаптирует подход",Не замечает эмоциональное состояние сотрудников,
20,Оставляет позитивное наследие,Сотрудники продолжают использовать его подходы после ухода,Команда быстро забывает его методы работы,
